Cell,Elevation,Times Changed Hands
1608,161,6
1609,1172,2
1610,787,4
1611,185,7
1612,385,8
1613,662,3
1614,512,4
1615,340,8
1616,283,133
1617,226,64
1618,186,8
1619,121,395
1620,91,473
1621,67,67
1622,-10,239
1623,1022,13
1624,929,7
1625,441,383
1626,240,130
1627,1,41
1628,350,1
1629,1211,2
1630,813,3
1631,98,575
1632,151,3
1633,134,326
1634,210,11
1635,574,2
1636,829,2
1637,280,4
1638,407,7
1639,620,3
1640,414,1
1641,332,17
1642,219,387
1643,167,556
1644,150,559
1645,115,471
1646,96,71
1647,-2,273
1648,365,4
1649,1156,2
1650,628,281
1651,521,1
1652,74,41
1653,1356,1
1654,535,1
1655,272,30
1656,144,181
1657,149,129
1658,153,13
1659,256,2
1660,459,6
1661,329,33
1662,500,3
1663,479,5
1664,390,2
1665,262,30
1666,184,286
1667,165,401
1668,153,4
1669,118,40
1670,72,158
1671,-3,358
1672,828,12
1673,920,11
1674,840,1
1675,139,57
1676,86,2
1677,225,1
1678,158,1
1679,895,3
1680,119,144
1681,100,441
1682,121,346
1683,130,22
1684,244,6
1685,592,7
1686,250,426
1687,363,270
1688,629,2
1689,465,6
1690,318,5
1691,227,2
1692,189,2
1693,151,67
1694,137,25
1695,105,156
1696,42,127
1697,38,13
1698,752,10
1699,745,203
1700,425,2
1701,27,20
1702,693,1
1703,1027,2
1704,381,5
1705,254,2
1706,187,1
1707,94,314
1708,137,8
1709,220,35
1710,319,459
1711,423,356
1712,535,3
1713,345,11
1714,296,6
1715,212,3
1716,178,2
1717,146,25
1718,121,188
1719,79,164
1720,18,418
1721,302,11
1722,573,50
1723,241,390
1724,202,2
1725,109,2
1726,199,182
1727,1,1
1728,336,2
1729,791,6
1730,163,19
1731,90,377
1732,96,118
1733,92,44
1734,135,19
1735,291,93
1736,377,193
1737,438,449
1738,390,74
1739,326,10
1740,273,3
1741,204,3
1742,167,7
1743,140,169
1744,108,220
1745,47,66
1746,16,479
1747,396,4
1748,316,46
1749,43,189
1750,410,2
1751,1354,1
1752,439,122
1753,91,116
1754,106,2
1755,89,330
1756,86,126
1757,191,25
1758,371,26
1759,468,9
1760,511,2
1761,363,61
1762,291,5
1763,229,4
1764,181,3
1765,149,180
1766,132,339
1767,96,59
1768,21,112
1769,180,12
1770,176,21
1771,78,382
1772,1,13
1773,322,378
1774,127,2
1775,1000,2
1776,140,270
1777,83,308
1778,113,4
1779,81,476
1780,95,454
1781,495,2
1782,462,312
1783,425,130
1784,321,46
1785,263,1
1786,211,3
1787,171,63
1788,151,282
1789,137,5
1790,80,19
1791,123,279
1792,80,153
1793,169,15
1794,81,2
1795,76,457
1796,199,94
1797,1343,4
1798,507,268
1799,81,321
1800,102,5
1801,79,460
1802,85,406
1803,427,1
1804,511,5
1805,493,226
1806,355,125
1807,296,8
1808,245,1
